TUI|MRCOLS|char(4)|Unique identifier of Semantic type|12-sep-2002 18:10:46|
UN|MRCOLS|varchar(10)|Meaning of frequency|12-sep-2002 18:10:46|
VCUI|MRCOLS|char(8)|Unique identifier for versioned SRC concept|12-sep-2002 18:10:46|
VER|MRCOLS|varchar(10)|Last release version in which CUI1 was valid|12-sep-2002 18:10:46|
VSAB|MRCOLS|varchar(40)|Versioned source abbreviation|12-sep-2002 18:10:46|
WD|MRCOLS|varchar(200)|Word in lower-case|12-sep-2002 18:10:46|
XC|MRCOLS|varchar(1)|Has Child|12-sep-2002 18:10:46|
MEND|MRCOLS|char(8)|Metathesaurus end date for a source|29-oct-2002 18:05:02|
MSTART|MRCOLS|char(10)|Metathesaurus start date for a source|29-oct-2002 18:05:02|
MRSAB|MRFILES|VCUI,RCUI,VSAB,RSAB,SON,SF,SVER,MSTART,MEND,IMETA,RMETA,SLC,SCC,SRL,TFR,CFR,CXTY,TTYL,ATNL,LAT,CENC,CURVER,SABIN|Source Metadata|01-nov-2002 14:45:22|
CREL|MRCOLS|varchar(4)|Relationship to retired CUI (CUI1) to current CUI (CUI2)|04-dec-2002 14:26:33|
FIL|MRCOLS|varchar(50)|Physical FILENAME|04-dec-2002 14:26:33|
FMT|MRCOLS|varchar(150)|Comma separated list of COL|04-dec-2002 14:26:33|
DOCKEY|MRCOLS|varchar(50)|Key to be documented||||09-JUN-07|
VALUE|MRCOLS|varchar(200)|Value||||09-JUN-07|
TYPE|MRCOLS|varchar(50)|Type of information||||09-JUN-07|
EXPL|MRCOLS|varchar(1000)|Detailed explanation||||09-JUN-07|
